ticker,snapshot_date,articles,scored_articles,pos_hits,neg_hits,sentiment,thin,top_positive,top_negative,eightk_30d,eightk_90d,eightk_365d,days_since_8k,pulled_at
NTLA,2026-09-21,32,16,12,4,0.674,False,Intellia Therapeutics Shares Rise as FDA Grants Priority Review to Lonvo-z,Intellia Therapeutics Secures Non-Dilutive Debt Facility with OrbiMed for up to $400 Million - Yahoo Finance,2,3,18,13,2026-09-21 23:53:23.570853
NUVB,2026-09-21,21,8,8,0,1.0,False,Nuvation Bio Announces FDA Approval of Supplemental New Drug Application for IBTROZI® (taletrectinib) with Updated Duration of Response in TKI-Naïve Advanced ROS1-Positive Non-Small Cell Lung Cancer - PR Newswire,,0,3,10,46,2026-09-21 23:53:24.125335
NVO,2026-09-21,82,25,6,19,-0.521,False,"Novo Nordisk's CagriSema Beats Tirzepatid in Head-to-Head Trial, Yet Shares Slide as London Strategy - AD HOC NEWS","Novo-Nordisk A/S's weight-loss drug CagriSema has ""hit a wall""! A 12.4% weight loss failed to allay market concerns. - news.futunn.com",0,0,0,,2026-09-21 23:53:24.752989
NVS,2026-09-21,7,8,1,7,-0.688,False,NVS Gets Positive CHMP Opinion for Cosentyx for Another Indication,Novartis (NVS) Faces Another Pipeline Setback as ALS Drug Fails Mid-Stage Trial - Yahoo Finance,0,0,0,,2026-09-21 23:53:25.323076
OCGN,2026-09-21,25,3,1,2,-0.333,True,,OCGN: Proposal to increase authorized shares delayed due to insufficient votes; adjournment approved - TradingView,1,3,21,13,2026-09-21 23:53:25.922374
OCS,2026-09-21,11,3,1,2,-0.746,True,Wall Street Analysts Believe Oculis Holding AG (OCS) Could Rally 199.75%: Here's is How to Trade,Oculis Holding AG: Navigating Through Major Trial Setback (NASDAQ:OCS) - Seeking Alpha,0,0,0,,2026-09-21 23:53:26.448624
OCUL,2026-09-21,18,7,7,0,1.0,False,Ocular Therapeutix (OCUL): Faster Path To Approval Comes With Rising Costs - Yahoo Finance,,0,1,11,49,2026-09-21 23:53:26.930075
OLMA,2026-09-21,19,5,3,2,-0.312,False,Olema Pharmaceuticals (NASDAQ: OLMA) grants CFO 650K options expiring in 2036 - Stock Titan,Olema Pharmaceuticals (OLMA) Shares Drop 15% After AstraZeneca B - GuruFocus,0,3,15,39,2026-09-21 23:53:27.736517
OMER,2026-09-21,5,3,3,0,1.0,True,OMER Stock Surges 5% After Hours On Novo Nordisk Deal Windfall And Drug Launch Optimism - Stocktwits,,0,5,13,39,2026-09-21 23:53:28.257655
ONC,2026-09-21,25,9,9,0,1.0,False,FDA Approval Marks A Turning Point For BeOne Medicines (ONC) - Yahoo Finance,,1,3,12,26,2026-09-21 23:53:28.862540
ORIC,2026-09-21,11,4,3,1,0.63,False,Oric Pharmaceuticals (ORIC) Stock Analysis: A 60% Upside Potential with Strong Buy Ratings in Biotech - DirectorsTalk Interviews,ORIC Falls After Hours On Safety Concerns Around Prostate Cancer Candidate At Higher Doses - Stocktwits,0,2,10,49,2026-09-21 23:53:29.359011
ORN,2026-09-21,0,0,0,0,0.0,True,,,1,3,15,0,2026-09-21 23:53:29.827575
PCVX,2026-09-21,36,5,1,4,-0.586,False,Vaxcyte stock holds near recent highs as OPUS-1 Phase 3 data window narrows - AD HOC NEWS,"Vaxcyte (PCVX) Dropped, So What Is Driving Attention Now? - Yahoo Finance",1,4,12,18,2026-09-21 23:53:30.599859
PEPG,2026-09-21,5,8,5,3,0.265,False,"PEPG Q2 2026 Earnings: Narrower Loss Beats Estimates, Shares Rise 4.35% - Consensus Beat Rate - dars.gov.et",PEPG Q2 2026 Earnings: Narrower-Than-Expected Loss Drives 3.34% Bounce - Earnings Miss Streak - careplusvn.com,0,1,13,46,2026-09-21 23:53:31.142366
PFE,2026-09-21,62,6,4,2,0.009,False,Pfizer (PFE) After FDA Vaccine Approval Faces A Fair Value Reality Check - Yahoo Finance,Medicuss Pfizer Deal Was Not a Fire Sale: A Strategic Bet on De-Risked ADC Drug - Streetwise Reports,0,1,10,48,2026-09-21 23:53:31.833631
PGEN,2026-09-21,15,1,1,0,1.0,True,FDA grants platform technology status to Precigen’s AdenoVerse - Investing.com,,0,2,5,48,2026-09-21 23:53:32.616514
PHAT,2026-09-21,4,1,0,1,-1.0,True,,"PHAT Investors Have Opportunity to Join Phathom Pharmaceuticals, Inc. Fraud Investigation with SBS Law - The National Law Review",0,2,11,53,2026-09-21 23:53:33.183623
PII,2026-09-21,3,0,0,0,0.0,True,,,0,1,9,55,2026-09-21 23:53:33.661348
PMVP,2026-09-21,15,3,1,2,-0.333,True,PMV Pharmaceuticals Announces Updated Promising Rezatapopt - GlobeNewswire,PMV Pharma Announces Pricing of Oversubscribed $50 Million Public Offering of Securities - GlobeNewswire,2,3,7,19,2026-09-21 23:53:34.091383
PRAX,2026-09-21,7,6,5,1,0.871,False,Praxis Precision Medicines: Still Potential Upside After Huge Rally (Rating Upgrade) - Seeking Alpha,"S&P 500 Futures Drop in Premarket Trading; Praxis Precision Meds, Science Applications Lead - Barron's",0,4,22,46,2026-09-21 23:53:34.766480
QNRX,2026-09-21,22,7,5,2,0.171,False,Quoin in line for priority review voucher if rare paediatric drug approved,Potential dilution looms as Quoin (NASDAQ: QNRX) registers ADS resales tied to warrant exercises - Stock Titan,2,5,15,11,2026-09-21 23:53:35.363669
RARE,2026-09-21,70,72,56,16,0.825,False,Ultragenyx's $4 million gene therapy wins FDA approval for a rare brain and nervous system disorder - The Business Journals,Ultragenyx drops on Phase 3 trial failure for Angelman syndrome drug (RARE:NASDAQ) - Seeking Alpha,2,5,19,4,2026-09-21 23:53:36.136772
